TABLE 1,,,,,,
,,,,,,
Alemania Fed .,210,12,230,21,198,169
Austria,241,16,330,43,363,325
Bélgica,156,10,260,13,367,144
Dinamarca,241,6,168,11,230,107
Escocia,82,15,155,18,342,59
España,40,4,136,17,237,225
Estados Unidos,121,102,220,26,273,158
Finlandia,251,26,180,29,387,55
Francia,156,9,225,10,535,328
Holanda,89,7,169,10,218,47
Inglaterra - Gales,79,10,130,14,203,36
Irlanda del Norte,40,136,215,18,320,43
Islandia,101,5,179,23,380,9
Italia,54,11,219,19,224,319
Noruega,38,7,182,32,314,37
Rep . Irlanda,38,7,182,32,314,47
Portugal,85,19,349,7,281,345
Suecia,194,11,151,13,384,122
Suiza,225,9,195,26,276,128
